URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-apgar-timing,2.0.0-Preview3,active,,ApgarTimingVS,APGAR Score Timing,"This valueset contains codes to represent standard timings for APGAR assessments.",,"SCT,LOINC"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-birth-and-fetal-death-financial-class,2.0.0-Preview3,active,,BirthAndFetalDeathFinancialClassVS,Birth and Fetal Death Financial Class,"This valueset contains codes to represent birth and fetal death financial class.   Mapping to IJE codes [here](ConceptMap-BirthAndFetalDeathFinancialClassCM.html).",,"us.nlm.vsac"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-birth-attendant-titles,2.0.0-Preview3,active,,BirthAttendantTitlesVS,Birth Attendants Titles,"This valueset contains codes to represent the type of birth attendant titles.   Mapping to IJE codes [here](ConceptMap-BirthAttendantTitlesCM.html).",,"THO (V3),SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-birth-delivery-occurred,2.0.0-Preview3,active,,BirthDeliveryOccurredVS,Birth Delivery Occurred,"This valueset contains codes to represent the type of place where birth or delivery occurred.  Mapping to IJE codes [here](ConceptMap-BirthDeliveryOccurredCM.html).",,"THO (V3),SCT,Internal"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-birth-weight-edit-flags,2.0.0-Preview3,active,,BirthWeightEditFlagsVS,Birth Weight Edit Flags (NCHS),"This valueset contains codes to represent Birth Weight Edit Flags.  Mapping to IJE codes [here](ConceptMap-BirthWeightEditFlagsCM.html).",,"Internal,hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-delivery-routes,2.0.0-Preview3,active,,DeliveryRoutesVS,Delivery Routes,"This valueset contains codes to represent Delivery Routes.   Mapping to IJE codes [here](ConceptMap-DeliveryRoutesCM.html).",,"SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-estimate-of-gestation-edit-flags,2.0.0-Preview3,active,,EstimateOfGestationEditFlagsVS,Estimate of Gestation Edit Flags (NCHS),"This valueset contains codes to represent Estimate of Gestation Edit Flags.   Mapping to IJE codes [here](ConceptMap-EstimateOfGestationEditFlagsCM.html).",,"Internal,hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fertility-enhancing-drug-therapy-artificial-insem,2.0.0-Preview3,active,,FertilityEnhancingDrugTherapyArtificialInseminationVS,Fertility Enhancing Drug Therapy and Artificial Insemination Value Set,"This valueset contains codes to represent fertility enhancing drug therapy and artificial insemination.",,"SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fetal-death-cause-or-condition,2.0.0-Preview3,active,,FetalDeathCauseOrConditionVS,Fetal Death Cause or Condition,"This valueset contains codes to represent fetal death cause or condition.   Mapping to IJE codes [here](ConceptMap-FetalDeathCauseOrConditionCM.html).",,"THO (V3),SCT,Internal"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fetal-death-time-points,2.0.0-Preview3,active,,FetalDeathTimePointsVS,Fetal Death Time Points,"This valueset contains codes to represent fetal death time points.   Mapping to IJE codes [here](ConceptMap-FetalDeathTimePointsCM.html).",,"THO (V3),SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fetal-presentations,2.0.0-Preview3,active,,FetalPresentationsVS,Fetal Presentations,"This valueset contains codes to represent fetal presentations. Only these codes are supported for exchange with NCHS.  Mapping to IJE codes [here](ConceptMap-FetalPresentationCM.html).",,"THO (V3),SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fetal-presentations-max,2.0.0-Preview3,active,,FetalPresentationsMaxVS,Fetal Presentations - Max,"This valueset contains codes to represent fetal presentations. It expands on the [FetalPresentationsVS](ValueSet-ValueSet-fetal-presentations.html) by including intensionally all codes for abnormal presentations,  as suggested by [FHIR-44554](https://jira.hl7.org/browse/FHIR-44554).",,"SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fetal-remains-disposition-method,2.0.0-Preview3,active,,FetalRemainsDispositionMethodVS,Fetal Remains Disposition Method,"This valueset contains codes to represent Fetal Remains Method of Disposition. Fetal Remains Disposition Method Value Set differs from the related VRDR [MethodOfDispositionVS](https://hl7.org/fhir/us/vrdr/ValueSet-vrdr-method-of-disposition-vs.html) since it includes 'Hospital Disposition', but not 'Entombment'.",,"THO (V3),SCT"
